,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Time,Fatal,NotFatal,Species,Season
5068,1929,Unprovoked,MEXICO,Tamaulipas,Tampico,Swimming,M,Right leg severed below knee,unknown,0,1,unknown,sum
5084,1929,Unprovoked,AUSTRALIA,Queensland,"Alma Bay, Magnetic Island, Townsville",Swimming,M,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Morning,1,0,unknown,win
5056,1929,Unprovoked,AUSTRALIA,New South Wales,"White Bay, near Bald Rock Jetty, Sydney Harbor ",Diving by wharf,M,"FATAL, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions  ",Afternoon,1,0,white,win
5070,1929,Provoked,USA,Florida,"Fort Pierce, St Lucie County",Fishing,M,Leg bitten by hooked shark PROVOKED INCIDENT,Afternoon,0,1,unknown,sum
5063,1929,Unprovoked,CUBA,Cienfuegos Province,Cienfuegos,Fishing,M,"Shark attacked his boat, threatening to capsize it. He jumped overboard & shark bit his arm. He knifed & killed shark. Later his arm was surgically amputated",unknown,0,1,unknown,aut
5057,1929,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,Recovered at Thursday Island Hospital,unknown,0,1,unknown,win
5064,1929,Unprovoked,AUSTRALIA,Torres Strait,Near Badu Island,Pearl diving,M,Heel injured,unknown,0,1,unknown,aut
5091,1929,Provoked,USA,Florida,Indian River area,Fishing,M,Thigh lacerated by hooked shark PROVOKED INCIDENT,unknown,0,1,unknown,unk
5092,1929,Unprovoked,AUSTRALIA,New South Wales,"Garden Island, Sydney",unknown,M,Hand lacerated,unknown,0,1,unknown,unk
5093,1929,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",Hardhat diving ,M,"Put hand through hatch, shark nearly bit off thumb",unknown,0,1,unknown,unk
5081,1929,Unprovoked,AUSTRALIA,New South Wales,Maroubra Bay,Body surfing,M,"FATAL, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",unknown,1,0,unknown,win
5077,1929,Unprovoked,USA,Florida,"Sea Spray, Palm Beach",Swimming,M,Right sole & toes lacerated,unknown,0,1,unknown,spr
5058,1929,Unprovoked,AUSTRALIA,New South Wales,Collaroy,Bathing or body surfing ,F,Superficial lacerations on right leg,Afternoon,0,1,unknown,win
5085,1929,Unprovoked,NEW ZEALAND,North Island,"Miranda Head, Hauriki Gulf",Bathing,F,"One was bitten on the leg, the other on the arm",Morning,0,1,unknown,win
5059,1929,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,Injuries to chest & arm,unknown,0,1,unknown,win
5078,1929,Unprovoked,AUSTRALIA,Torres Strait,Near Dauan Island,Bathing,M,FATAL,Morning,1,0,unknown,spr
5086,1929,Unprovoked,AUSTRALIA,New South Wales,Bondi,Body surfing,M,"FATAL, right thigh & hip bitten",Morning,1,0,unknown,win
5074,1929,Provoked,AUSTRALIA,Queensland,"Bribie Passage, Caloundra",Standing in knee-deep water,M,Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,unknown,0,1,unknown,spr
5082,1929,Boating,AUSTRALIA,Western Australia,Glenelg,Canoeing,unknown,"No injury, shark pushed canoe from jetty to a point 100 m away",Afternoon,0,1,unknown,win
5075,1929,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,unknown,M,FATAL,unknown,1,0,unknown,spr
5083,1929,Unprovoked,AUSTRALIA,New South Wales,Bondi,Swimming,M,"FATAL, right thigh bitten, femoral artery severed",unknown,1,0,unknown,win
5087,1929,Boating,TURKEY,unknown,San Stefano,Fishing boat,M,FATAL,unknown,1,0,unknown,win
5088,1929,Unprovoked,FIJI,Viti Levu Island,Suva Harbor,Diving for coins thrown from ship S.S. Moeraki,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",unknown,1,0,unknown,win
5067,1929,Unprovoked,USA,South Carolina,Fort Moultrie,Bathing,M,Left foot & ankle bitten,unknown,0,1,unknown,sum
5079,1929,Unprovoked,AUSTRALIA,South Australia,Ardrossan,Launching rowboat through the surf,M,Foot bitten,unknown,0,1,unknown,spr
5080,1929,Unprovoked,AUSTRALIA,South Australia,Ardrossan,Launching rowboat through the surf,M,Legs bitten,unknown,0,1,unknown,spr
5076,1929,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,Swimming between boats,M,FATAL,unknown,1,0,unknown,spr
5065,1929,Unprovoked,SPAIN,Valencia,Nasareth Beach,Fishing ,M,Arm injured when sharks rammed his boat,Afternoon,0,1,unknown,aut
5066,1929,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Fell from wharf into water & attacked immediately,M,"FATAL, severe injuries to both legs ",unknown,1,0,unknown,aut
5099,1928,Unprovoked,USA,Texas,Corpus Christi,Fishing,M,Knee bitten,unknown,0,1,white,aut
5110,1928,Unprovoked,AUSTRALIA,Queensland,unknown,unknown,M,Hip bitten,unknown,0,1,unknown,aut
5103,1928,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,M,Bitten on leg,Afternoon,0,1,unknown,aut
5096,1928,Boating,INDIA,unknown,unknown,unknown,M,"No injury to occupants, shark bit keel",Afternoon,0,1,unknown,aut
5105,1928,Unprovoked,AUSTRALIA,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",Fishing,M,Severe lacerations to arm,unknown,0,1,unknown,aut
5102,1928,Provoked,ITALY,Tuscany,Viareggio,Boating,M,"No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT",unknown,0,1,unknown,unk
5118,1928,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River mouth,Body surfing,M,Foot bitten,unknown,0,1,unknown,win
5112,1928,Unprovoked,COSTA RICA,Near Puntarenas,unknown,Swimming,F,Right leg severely lacerated. Surgically amputated,unknown,0,1,unknown,win
5113,1928,Unprovoked,COSTA RICA,Near Puntarenas,unknown,Swimming,M,Right leg & hand severely lacerated,unknown,0,1,unknown,win
5114,1928,Unprovoked,AUSTRALIA,Torres Strait,Deliverance Island,Retrieving meat from a cage in the water,M,FATAL,Afternoon,1,0,unknown,win
5094,1928,Unprovoked,AUSTRALIA,unknown,unknown,Pearl diving,M,Injuries to arm ,unknown,0,1,unknown,win
5111,1928,Unprovoked,AUSTRALIA,Torres Strait,"Near Barrow Point, Queensland",Pearl diving,M,FATAL,Morning,1,0,unknown,win
5119,1928,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Tugela River Mouth,Standing,M,"Tissue of right thigh removed to the bone, both thumbs & some fingers severed ",unknown,0,1,unknown,unk
5095,1928,Provoked,USA,New Jersey,"Seabright, Monmouth County",Fishing,M,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",Afternoon,0,1,unknown,aut
5106,1928,Unprovoked,AUSTRALIA,New South Wales,Bondi,Treading water,M,Tissue of left leg stripped from knee to ankle ,unknown,0,1,unknown,spr
5097,1928,Unprovoked,USA,Virginia,"200 miles off Hampton Roads, Virginia, USA","Sea Disaster, sinking of the  SS Vestris",M,FATAL,unknown,1,0,unknown,aut
5101,1928,Unprovoked,AUSTRALIA,unknown,unknown,Pearl diving,M,Injuries to chest,unknown,0,1,unknown,sum
5107,1928,Unprovoked,JAMAICA,unknown,"Coal wharf, Port Royal",Diving,M,FATAL,unknown,1,0,unknown,spr
5108,1928,Unprovoked,AUSTRALIA,Queensland,Graceville,Bathing,M,Lacerations to right leg ,unknown,0,1,unknown,spr
5098,1928,Unprovoked,PANAMA,Gulf of Panama,Taboga Island Bay,Swimming,M,"FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee",unknown,1,0,unknown,aut
5109,1928,Unprovoked,AUSTRALIA,New South Wales,"Cooks Hill, Newcastle",Standing in waist-deep water,M,"FATAL, right hand severed, large lacerations on thigh",unknown,1,0,unknown,spr
5117,1928,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Salt Vlei, Port Alfred",unknown,F,Leg lacerated,unknown,0,1,unknown,win
5127,1927,Unprovoked,AUSTRALIA,Queensland,Off Cairns,Walking,M,FATAL,unknown,1,0,unknown,aut
5135,1927,Unprovoked,USA,California,"Catalina Channel, Los Angeles County",Swimming,M,Lost hand,unknown,0,1,unknown,aut
5124,1927,Unprovoked,FIJI,unknown,a river,"Standing, collecting bananas",M,Leg bitten. He survived,unknown,0,1,unknown,aut
5133,1927,Provoked,NEW ZEALAND,South Island,"Menzies Bay, Banks Peninsula, ",Fishing,M,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,unknown,0,1,unknown,win
5126,1927,Unprovoked,PHILIPPINES,Luzon Island,Bondoc Peninsula,Sea disaster,unknown," 55  perished, some were  taken by sharks",unknown,1,0,unknown,spr
5120,1927,Unprovoked,SOUTH AFRICA,Western Cape Province,Little Brak River,Swimming,M,"FATAL, leg bitten  ",unknown,1,0,unknown,win
5122,1927,Unprovoked,BRAZIL,Porto Seguro,90 miles off Albrohos Island,Italian liner Principessa Mafalda sank,unknown,"Of 1256 on board, 295 perished, some were taken by sharks",Morning,1,0,unknown,aut
5134,1927,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kidds Beach,Body surfing,M,Both thighs  lacerated,unknown,0,1,unknown,win
5128,1927,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,M,Extensive injuries to left leg,Afternoon,0,1,unknown,spr
5137,1927,Unprovoked,AUSTRALIA,New South Wales,15 miles up the Cataract River,Swimming,M,"FATAL, shoulder bitten ",Afternoon,1,0,unknown,unk
5138,1927,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,Shoulder bitten,unknown,0,1,unknown,unk
5131,1927,Provoked,NICARAGUA,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",Feeling the sharks teeth,M,"Sharkss jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",unknown,0,1,unknown,win
5123,1927,Unprovoked,AUSTRALIA,New South Wales,"Kiah Creek, Eden",Riding horseback across the creek,M,No injury to man or horse,Afternoon,0,1,unknown,aut
5130,1927,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Body surfing / treading water,M,"Right buttock & thigh bitten, thumb removed",unknown,0,1,unknown,spr
5132,1927,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Attempting to rescue drowning man,M,"No injury, but trouser leg shredded by shark",unknown,0,1,unknown,win
5129,1927,Unprovoked,AUSTRALIA,Queensland,Near Thursday Island,Pearl diving,M,Leg injured,unknown,0,1,unknown,spr
5121,1927,Unprovoked,AUSTRALIA,New South Wales,"Bradleys Head, Sydney ",The steamer Tahiti collided with the ferry Greycliffe,unknown,40 people perished,unknown,1,0,unknown,aut
5125,1927,Boating,AUSTRALIA,New South Wales,Bellambi Reef,unknown,unknown,"No injury to occupants, boat was bumped & lifted 2' out of the water by the shark",unknown,0,1,unknown,sum
5136,1927,Unprovoked,AUSTRALIA,New South Wales,"Greys Point, Port Hacking",Swimming,M,"FATAL, leg bitten from thigh to ankle",unknown,1,0,unknown,win
5156,1926,Unprovoked,MONACO,Bay of Monaco,unknown,unknown,M,FATAL,unknown,1,0,unknown,sum
5141,1926,Unprovoked,PAPUA NEW GUINEA,Central Province,Roku Point,Jumped into the water,M,"FATAL, abdomen bitten",unknown,1,0,unknown,aut
5144,1926,Unprovoked,PAPUA NEW GUINEA,unknown,Near Port Moresby,Jumped out of canoe,M,FATAL,unknown,1,0,unknown,aut
5139,1926,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,Diving for trochus,M,FATAL,Morning,1,0,unknown,aut
5155,1926,Unprovoked,AUSTRALIA,Victoria,unknown,unknown,M,Leg lacerated,unknown,0,1,unknown,win
5154,1926,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Hamburg,Swimming,M,Thigh lacerated,unknown,0,1,unknown,win
5145,1926,Unprovoked,USA,New Jersey,"Seaside, Ocean County",Swimming,M,FATAL,unknown,1,0,unknown,sum
5142,1926,Unprovoked,AUSTRALIA,New South Wales,Clarence River,Bathing,M,"3"" laceration to leg",unknown,0,1,unknown,aut
5143,1926,Unprovoked,BERMUDA,unknown,18 miles southwest of Bermuda ,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,unknown,"Of 104 people in the water, only 20 survived. 84 people were lost, many to sharks. Sharks 2 pulled crew off life rafts",unknown,0,1,unknown,aut
5146,1926,Unprovoked,ITALY,Golfo di Genova in the Ligurian Sea,Varazze,Swimming,M,"FATAL, body was not recovered",Afternoon,1,0,unknown,sum
5151,1926,Unprovoked,SOUTH ATLANTIC OCEAN,South of the Equator ,Steamship bound from Cape Town to Philadelphia,Fell overboard from SS Ripley Castle,M,When taken back on board 2 hours later both legs were bleeding from shark bites,unknown,0,1,unknown,spr
5157,1926,Provoked,NEW ZEALAND,Cook Islands,Rarotonga,Shark hoisted on board liner Tahiti,M,"Struck on head by sharks tail, knocked unconscious & deep gash in head PROVOKED INCIDENT",unknown,0,1,unknown,unk
5158,1926,Unprovoked,SINGAPORE,unknown,Sea View Beach,Dived onto shark from floating stage,F,"FATAL, femoral artery severed ",unknown,1,0,unknown,unk
5159,1926,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Swimming to mail boat,M,No details,Morning,unknown,unknown,unknown,unk
5150,1926,Unprovoked,USA,Hawaii,"Hale'iwa, O'ahu",Swimming,M,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",unknown,1,0,unknown,spr
5140,1926,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,M,Arm injured,unknown,0,1,unknown,aut
5153,1926,Unprovoked,AUSTRALIA,South Australia,"West Beach, Brighton",Swimming ,F,FATAL,unknown,1,0,unknown,spr
5147,1926,Boating,USA,New Jersey,20 miles off Seabright,Fishing,M,No injury to occupants,unknown,0,1,unknown,sum
5148,1926,Unprovoked,USA,California,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",Swimming with dog near canning factory,M,Leg & hand lacerated and dog bitten,unknown,0,1,unknown,sum
5152,1926,Unprovoked,USA,Hawaii,"Hilo Bay Yacht Club, Hilo, Hawai'i",Swimming,F,Right leg bitten thigh to heel,unknown,0,1,unknown,spr
5171,1925,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,M,Lacerations to arm,unknown,0,1,unknown,aut
5161,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",unknown,F,Laceration across abdomen,unknown,0,1,shovelnose,aut
5162,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",unknown,M,Both calves lacerated,unknown,0,1,unknown,aut
5167,1925,Unprovoked,USA,Puerto Rico,"Condado Beach, San Juan",unknown,M,"Right arm nearly severed at shoulder, left wrist lacerated",unknown,0,1,unknown,spr
5160,1925,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Floating on his back,M,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",unknown,1,0,unknown,aut
5173,1925,Unprovoked,FIJI,Viti Levu Island,"Suva Harbor, Suva",Diving for coins tossed from passenger ship,M,"Both arms bitten, surgically amputated",unknown,0,1,unknown,unk
5169,1925,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,M,"FATAL, right forearm severed, lacerations from buttocks to heel L",unknown,1,0,unknown,spr
5170,1925,Unprovoked,PAPUA NEW GUINEA,Central Province,Hula,Swimming,M,FATAL,unknown,1,0,unknown,spr
5172,1925,Unprovoked,CANADA,Vancouver,Second Narrows in Burrard Inlet,"Diving, repairing water main at depth of 90'",M,"Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",Afternoon,0,1,unknown,win
5168,1925,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in waist-deep water,M,"Left thigh bitten, leg surgically amputated ",unknown,0,1,unknown,spr
5163,1925,Provoked,SPAIN,Valencia ,Valencia,Fishing,M,Right hand bitten by hooked shark PROVOKED INCIDENT,unknown,0,1,unknown,aut
5164,1925,Unprovoked,ENGLAND,Isle of Wight,Off Shanklin,Fishing,M,No injury but shark lifted boat out of the water,unknown,0,1,unknown,aut
5165,1925,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Swimming,F,"Multiple lacerations on both thighs, right buttock and hip",unknown,0,1,unknown,sum
5177,1924,Provoked,FRENCH POLYNESIA,Tuamotus,Rangiroa,Pearl diving,M,Abrasions PROVOKED ATTACK,unknown,0,1,unknown,aut
5186,1924,Unprovoked,SOLOMON ISLANDS,Central Province,Savo Island,Swimming,M,"Left arm severed, leg bitten",unknown,0,1,unknown,aut
5179,1924,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",Standing,M,Left knee & leg bitten. (Tooth fragment recovered from kneecap),unknown,0,1,unknown,sum
5190,1924,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Swimming,M,FATAL,unknown,1,0,unknown,win
5174,1924,Unprovoked,MEXICO,Tamaulipas,Tampico,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,FATAL,unknown,1,0,unknown,aut
5191,1924,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"St. Georges Strand, Port Elizabeth",Swimming,M,Foot lacerated,unknown,0,1,unknown,win
5183,1924,Unprovoked,AUSTRALIA,New South Wales,Kiama,"Fishing, fell in water & swimming strongly to shore",M,"FATAL, partial remains recovered ",unknown,1,0,unknown,spr
5175,1924,Unprovoked,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,"Inebriated, woke from sleep and fell off deck into the water ",M,Knee bitten,unknown,0,1,unknown,aut
5187,1924,Boating,SPAIN,Galica,Sisargas Islands,Fishing,unknown,"No injury to occupants, shark bit boat",unknown,0,1,unknown,spr
5184,1924,Unprovoked,PANAMA,150 miles offshore,unknown,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,"Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",unknown,0,1,unknown,spr
5176,1924,Unprovoked,USA,Puerto Rico,Santurce,Bathing,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",unknown,1,0,unknown,aut
5178,1924,Unprovoked,AUSTRALIA,Victoria,Port Melbourne,Bathing,M,Leg bitten,unknown,0,1,unknown,aut
5182,1924,Provoked,USA,Florida,"Bayboro, Pinellas County",Removing shark from a net,M,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,unknown,0,1,unknown,sum
5180,1924,Provoked,ENGLAND,Dorset,Weymouth,Fishing for mackerel,M,Arms broken by hooked shark PROVOKED INCIDENT,unknown,0,1,unknown,sum
5188,1924,Unprovoked,AUSTRALIA,New South Wales,Bronte,Bathing in 5' of water,F,"Legs severely bitten, surgically amputated",unknown,0,1,unknown,win
5192,1924,Unprovoked,AUSTRALIA,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",Had just dived into water & was swimming,M,"FATAL, right thigh severely bitten, left arm lacerated ",unknown,1,0,unknown,win
5181,1924,Boating,USA,California,"Newport Beach, Orange County",Fishing,M,"No injury, shark tore hole in the side of the boat",unknown,0,1,unknown,sum
5204,1923,Unprovoked,AUSTRALIA,Western Australia,"Southgates, near Geraldton",Wading,M,Minor puncture wounds to foot,unknown,0,1,unknown,aut
5201,1923,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving for pearl,M,non-fatal,unknown,0,1,unknown,aut
5207,1923,Unprovoked,USA,Puerto Rico,San Juan,Swimming ,M,"Right calf, right side of abdomen & left wrist & hand bitten",unknown,0,1,unknown,win
5209,1923,Unprovoked,AUSTRALIA,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",Swimming,M,"FATAL, back of thigh bitten ",unknown,1,0,unknown,win
5195,1923,Unprovoked,AUSTRALIA,Western Australia,"Condon, 88 km NE of Port Hedland",Dry shelling,M,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",unknown,1,0,unknown,aut
5205,1923,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving?,M,FATAL,unknown,1,0,unknown,spr
5212,1923,Unprovoked,PHILIPPINES, Manila Bay,Fort Drum,unknown,M,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died  ",unknown,1,0,unknown,unk
5211,1923,Boating,USA,New Jersey,"Sea Bright, Monmouth County",Fishing,M,No injury to occupant Shark struck boat,unknown,0,1,unknown,unk
5213,1923,Provoked,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,Morning,0,1,unknown,unk
5206,1923,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Diving,M,Lacerations to right thigh and knee,unknown,0,1,unknown,spr
5198,1923,Boating,AUSTRALIA,New South Wales," Black Head, south of Taree",Fishing,unknown,"No injury to occupants, shark bit boat",unknown,0,1,unknown,aut
5199,1923,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Pearl diving,M,"Arm severed, but survived",Afternoon,0,1,unknown,aut
5202,1923,Boating,AUSTRALIA,New South Wales,Bellambi Reef,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,"FATAL, taken by shark. Two other men drowned,  only 1 man survived",unknown,1,0,sevengill,sum
5193,1923,Unprovoked,AUSTRALIA,New South Wales,"Murwillumbah, Tweed River",Swimming,M,Lacerations to leg,unknown,0,1,unknown,win
5200,1923,Unprovoked,GUYANA,Demerara County,Off the Demerara River ,Fishing,M,Puncture wounds to left leg,unknown,0,1,unknown,sum
5203,1923,Boating,MEXICO,Vera Cruz,Outside Vera Cruz Harbor,Dismantling cable buoys of the cable ship All America,unknown,"No injury to occupants, shark rammed boat",unknown,0,1,unknown,sum
5194,1923,Unprovoked,AUSTRALIA,New South Wales,"Urunga, Belliger Heads","Fishing, standing in waist-deep water",M,"FATAL, disappeared, thought to have been taken by a shark ",unknown,1,0,unknown,win
5232,1922,Unprovoked,IRAQ,unknown,Shatt-al Arab River,Bathing,M,FATAL,unknown,1,0,unknown,aut
5220,1922,Unprovoked,ENGLAND,East Yorkshire,Hornsea,Swimming ,M,FATAL,unknown,1,0,unknown,aut
5221,1922,Boating,USA,Massachusetts,Nahant,Fishing,unknown,"No injury to occupants, shark splintered stern",unknown,0,1,unknown,aut
5217,1922,Unprovoked,BARBADOS,Lucy,Pie Corner,Fishing,M,FATAL,unknown,1,0,unknown,aut
5219,1922,Unprovoked,USA,Hawaii,"Keawanui, Kamalo, Moloka'i","Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",M,Survived,unknown,0,1,unknown,aut
5226,1922,Unprovoked,AUSTRALIA,New South Wales,Hawkesbury River,Swimming,M,FATAL,unknown,1,0,unknown,spr
5224,1922,Unprovoked,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Swimming,M,"FATAL, arm severed, thigh severely bitten  ",unknown,1,0,unknown,spr
5227,1922,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Fishing,M,Survived,unknown,0,1,unknown,spr
5214,1922,Provoked,USA,New Jersey,Ocean City (offshore),Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,unknown,0,1,unknown,unk
5222,1922,Unprovoked,USA,Florida,"Pablo Beach, Jacksonville, Duval County",unknown,M,Leg bitten,unknown,0,1,unknown,sum
5223,1922,Unprovoked,USA,Florida,"Municipal Pier, St. Petersburg, Tampa bay",Floating,F,"FATAL, thigh bitten",Afternoon,1,0,the,sum
5233,1922,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Swimming ,M,FATAL,unknown,1,0,unknown,win
5215,1922,Unprovoked,USA,Puerto Rico,San Juan,Bathing,F,"FATAL, hip & thigh bitten with  tissue removed, including bone ",unknown,1,0,female,win
5228,1922,Unprovoked,JAMAICA,Kingston Parish,Kingston Harbor,Standing,F,"FATAL, right leg severed at thigh ",unknown,1,0,unknown,spr
5234,1922,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing,M,Small laceration on left thigh & swim costume torn,unknown,0,1,unknown,win
5225,1922,Unprovoked,SOUTH AFRICA,Western Cape Province,"Simons Town, False Bay",Swimming,M,Abdomen & thigh bitten,Afternoon,0,1,unknown,spr
5216,1922,Unprovoked,AUSTRALIA,Queensland,Pialba Beach near Maryborough,Bathing in 3' to 4' of water,M,"FATAL, severe injuries to torso  ",unknown,1,0,unknown,win
5235,1922,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Surfing,M,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Afternoon,1,0,unknown,win
5231,1922,Unprovoked,AUSTRALIA,New South Wales,Coogee ,Swimming,M,"FATAL, both arms & shoulder bitten",Afternoon,1,0,unknown,win
5229,1922,Unprovoked,AUSTRALIA,New South Wales,Coogee,Bathing in knee-deep water,M,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",unknown,1,0,unknown,spr
5242,1921,Provoked,ENGLAND,Dorset,Weymouth,Fishing,M,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,unknown,0,1,unknown,aut
5243,1921,Unprovoked,AUSTRALIA,Torres Strait,unknown,unknown,M,Lacerations to arm,unknown,0,1,unknown,aut
5239,1921,Unprovoked,FIJI,Viti Levu Island,Rewa River,Swimming,unknown,FATAL,unknown,1,0,unknown,aut
5244,1921,Unprovoked,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",Swimming,M,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",Afternoon,1,0,unknown,sum
5237,1921,Unprovoked,AUSTRALIA,Queensland,"Gays Corner, Bulimba Reach of Brisbane River",Fell from his father's back into the water,M,"FATAL, disappeared, body not recovered",Morning,1,0,unknown,aut
5238,1921,Unprovoked,AUSTRALIA,Queensland,"Gays Corner, Bulimba Reach of Brisbane River","Wading to dinghy, carrying his son",M,"Right hip, buttock, elbow, arm & wrist bitten",unknown,0,1,unknown,aut
5248,1921,Unprovoked,HAITI,Cape Haitien,Marine Dock,Dived into a school of baitfish,M,"FATAL, large wound on thigh",unknown,1,0,unknown,sum
5245,1921,Unprovoked,CUBA,unknown,Havana Harbor,Fell overboard,M,FATAL,unknown,1,0,unknown,sum
5240,1921,Unprovoked,AUSTRALIA,Queensland,Off Hinchinbrook Island,Diving for beche-de-mer ,M,Lacerations to right arm & chest,unknown,0,1,unknown,aut
5236,1921,Unprovoked,AUSTRALIA,Queensland,Fitzroy River at  Rockhampton,Swimming,M,Survived,unknown,0,1,unknown,win
5241,1921,Unprovoked,AUSTRALIA,Queensland,Barrier Reef,Diving for beche-de-mer,M,"Left thigh bitten, FATAL",Morning,1,0,unknown,aut
5256,1920,Unprovoked,AUSTRALIA,Torres Strait,unknown,Diving,M,Lacerations to foot,unknown,0,1,unknown,aut
5258,1920,Unprovoked,AUSTRALIA,Torres Strait,Arlington Reef,Free diving,M,FATAL,unknown,1,0,unknown,aut
5252,1920,Unprovoked,AUSTRALIA,Torres Strait,200 miles from MacKay,Diving for trochus shell,M,Severe lacerations to right shoulder & arm,unknown,0,1,unknown,aut
5247,1920,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Wading,M,Lacerations to leg & hand,Afternoon,0,1,unknown,aut
5253,1920,Unprovoked,USA,Florida,"Englewood Beach, Charlotte County",Swimming ,M,Knee & thigh bitten,unknown,0,1,unknown,sum
5254,1920,Provoked,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove",Harpooned shark,unknown,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",unknown,0,1,unknown,sum
